Dataset,cells,mean,se
Kolodziejczyk,0.142045454545455,0.1001221001221,0.1001221001221
Kolodziejczyk,0.852272727272727,0.000449789254696901,0.000449789254696901
Kolodziejczyk,1.5625,3.97522268612205e-05,2.36553918441741e-05
Kolodziejczyk,10.0852272727273,8.97899404587242e-42,5.11513472812217e-42
Kolodziejczyk,10.7954545454545,2.07246900524507e-45,1.23831873753422e-45
Kolodziejczyk,11.5056818181818,4.55959479112895e-49,2.30078046121629e-49
Kolodziejczyk,12.2159090909091,1.10070041680054e-52,7.23136653993066e-53
Kolodziejczyk,12.9261363636364,1.5567787414897e-56,7.9854509013882e-57
Kolodziejczyk,13.6363636363636,1.31227476814689e-60,6.75137644935121e-61
Kolodziejczyk,14.3465909090909,3.04752538333845e-64,1.88801711124361e-64
Kolodziejczyk,2.27272727272727,1.10368638178344e-07,6.3139414194998e-08
Kolodziejczyk,2.98295454545455,1.91693248794697e-10,1.01110674858982e-10
Kolodziejczyk,3.69318181818182,2.23747609641005e-13,1.20488072369176e-13
Kolodziejczyk,4.40340909090909,2.89808004317966e-16,1.45443068173109e-16
Kolodziejczyk,5.11363636363636,3.12076896023484e-19,9.65032632900601e-20
Kolodziejczyk,5.82386363636364,3.5826047440771e-22,1.24247339126133e-22
Kolodziejczyk,6.53409090909091,2.50074379640447e-25,7.56289129344549e-26
Kolodziejczyk,7.24431818181818,1.93503900969649e-28,7.75897518317994e-29
Kolodziejczyk,7.95454545454545,8.94711437100116e-32,3.56928137482308e-32
Kolodziejczyk,8.66477272727273,5.46780833634181e-35,2.61656718141865e-35
Kolodziejczyk,9.375,1.59352406361011e-38,7.616002716574e-39
Pollen2,0.332225913621262,3.88066004409675,1.29158887567609
Pollen2,0.664451827242525,2.73000456598471,0.758456833149737
Pollen2,0.996677740863787,1.08260346694252,0.275655093957922
Pollen2,1.32890365448505,0.348616815214825,0.0803940664407562
Pollen2,1.66112956810631,0.112016938161741,0.0254616944791316
Pollen2,1.99335548172757,0.0338044042312926,0.00783610561026908
Pollen2,2.32558139534884,0.00946027888041489,0.00223891589900569
