variable,value
Pairwise,0.655870107084608
Pairwise,0.478345645864858
Pairwise,0.648989319588622
Pairwise,0.772661602247823
Pairwise,0.503732467630156
Pairwise,0.47630665635647
Pairwise,0.367211642654619
Pairwise,0.444223091298884
Pairwise,0.548777006670111
Pairwise,0.76318715028368
Pairwise,0.733371014788457
Pairwise,0.736668974611436
Pairwise,0.446658596837644
Pairwise,0.582384261408594
Pairwise,0.655300113067736
Pairwise,0.53163474917658
Pairwise,0.52800229332515
Pairwise,0.505783553229472
Pairwise,0.612898095212443
Pairwise,0.602765009372665
Pairwise,0.520778475457265
Pairwise,0.698603379506611
Pairwise,0.769161666177773
Pairwise,0.411589147316613
Pairwise,0.434761204564535
Pairwise,0.549300220844441
Pairwise,0.530531390319255
Pairwise,0.767695693736678
Pairwise,0.789487017709898
Pairwise,0.473703555416616
Pairwise,0.657545192805781
Pairwise,0.642560566791457
Pairwise,0.732636456369723
Pairwise,0.517547999015346
Pairwise,0.632332366460755
Pairwise,0.583018611121645
Pairwise,0.495740707672137
Pairwise,0.515338358670327
Pairwise,0.732391544363248
Pairwise,0.578718900597555
Pairwise,0.547974428054806
Pairwise,0.481947496769258
Pairwise,0.64049688494624
Pairwise,0.460363319659674
Pairwise,0.777451750998963
Pairwise,0.816307827568784
Pairwise,0.551933869551535
Pairwise,0.445519875504938
Pairwise,0.559705352116606
Pairwise,0.485019347487339
Pairwise,0.641837659399116
Pairwise,0.53323187156601
Pairwise,0.587595448010238
Pairwise,0.556219798821708
Pairwise,0.47723106149902
Pairwise,0.573488552401155
Pairwise,0.555697524338555
Pairwise,0.39474922423098
Pairwise,0.753482455424682
Pairwise,0.767608412966183
Pairwise,0.385040503925467
Pairwise,0.482925532020046
Pairwise,0.557066668265913
Pairwise,0.701148828290471
Pairwise,0.498073659006304
Pairwise,0.569360515409243
Pairwise,0.471009941535089
Pairwise,0.761963506253665
Pairwise,0.664221777239465
Pairwise,0.701646197619311
Pairwise,0.664456504381628
Pairwise,0.476068252249337
Pairwise,0.557332207310833
Pairwise,0.571739158662475
Pairwise,0.63828391123833
Pairwise,0.616714143519241
Pairwise,0.444096392464344
Pairwise,0.741566840249817
Pairwise,0.655727820468933
Pairwise,0.651137243942945
Pairwise,0.400598159171483
Pairwise,0.53285340302917
Pairwise,0.588179458975003
Pairwise,0.469992484098992
Pairwise,0.50806993374982
Pairwise,0.717894874162627
Pairwise,0.523532957607647
Pairwise,0.719346201392367
Pairwise,0.555375430384455
Pairwise,0.49058900335945
Pairwise,0.542287627131612
Pairwise,0.469212840669098
Pairwise,0.444036265897652
Pairwise,0.795210011814825
Pairwise,0.449385227686489
Pairwise,0.441105368761418
Pairwise,0.785117473701736
Pairwise,0.481025327861637
Pairwise,0.715505168841976
Reference,0.586443443479276
Reference,0.911561365115057
Reference,0.608775419324495
Reference,0.498307531089667
Reference,0.488982274538291
Reference,0.511254536414049
Reference,0.434855057671113
Reference,0.540750137689277
Reference,0.521398269365253
Reference,0.538443000197293
Reference,0.432112988573464
Reference,0.618565501031065
Reference,0.539528826468897
Reference,0.56724685793661
Reference,0.504909358847696
Reference,0.907741241076368
Reference,0.510122467242592
Reference,0.564913212193928
Reference,0.35816496620723
Reference,0.39162257916014
Reference,0.596746524460064
Reference,0.519527681294646
Reference,0.540708997313334
Reference,0.646098263170369
Reference,0.44502414438517
Reference,0.52240863172779
Reference,0.659996865097406
Reference,0.673610136785243
Reference,0.904189893779316
Reference,0.41189847470002
Reference,0.663865450660541
Reference,0.565543981222456
Reference,0.913328651299516
Reference,0.711694152960621
Reference,0.490112545756393
Reference,0.605225248128748
Reference,0.509740189504354
Reference,0.495141868625972
Reference,0.360700510788074
Reference,0.614460404884224
Reference,0.701204166098832
Reference,0.547484012045462
Reference,0.506418539235151
Reference,0.515646880234239
Reference,0.856880674691787
Reference,0.520003922421995
Reference,0.499900993908738
Reference,0.58001002166275
Reference,0.4694867984117
Reference,0.386171055323935
Reference,0.514729766395754
Reference,0.534658441716717
Reference,0.56149472243204
Reference,0.335530655469989
Reference,0.393414337785711
Reference,0.507727447846907
Reference,0.613448253446632
Reference,0.347468944937724
Reference,0.492248055256846
Reference,0.570822366226378
Reference,0.496553044128246
Reference,0.46248228857228
Reference,0.385305010569932
Reference,0.546099547652878
Reference,0.397705169473307
Reference,0.579525818037339
Reference,0.641333951915884
Reference,0.511535023236955
Reference,0.342363034348
Reference,0.510714546921406
Reference,0.498234280716356
Reference,0.496759507353152
Reference,0.548264161458348
Reference,0.486374734560556
Reference,0.491859210530455
Reference,0.512818965053128
Reference,0.54961002466114
Reference,0.644622157563379
Reference,0.559044914443482
Reference,0.514989723141242
Reference,0.509533368878363
Reference,0.397289582313891
Reference,0.485929809794107
Reference,0.452083652369817
Reference,0.564596321784176
Reference,0.330421264546596
Reference,0.380096880141327
Reference,0.891560460711007
Reference,0.505890044210261
Reference,0.488626900686152
Reference,0.585669460426079
Reference,0.714768609921058
Reference,0.656754923440228
Reference,0.510697383715515
Reference,0.467741603923473
Reference,0.520769307336389
Reference,0.490952829574323
Reference,0.485454622052845
Reference,0.489908635265511
