outl,Stage,Cells
0,zygote,1
0,zygote,2
0,zygote,3
0,zygote,4
0,early2cell,5
0,early2cell,6
0,early2cell,7
29.7132649206157,early2cell,8
0,early2cell,9
0,early2cell,10
0,early2cell,11
0,early2cell,12
0,mid2cell,13
0,mid2cell,14
11.3693152126929,mid2cell,15
17.1533498828648,mid2cell,16
0,mid2cell,17
0,mid2cell,18
0,mid2cell,19
0,mid2cell,20
0,mid2cell,21
0,mid2cell,22
0,mid2cell,23
0,mid2cell,24
0,late2cell,25
0,late2cell,26
0,late2cell,27
0,late2cell,28
0,late2cell,29
0,late2cell,30
0,late2cell,31
0,late2cell,32
0,late2cell,33
0,late2cell,34
9.6892653481703,4cell,35
2.4335332270389,4cell,36
0,4cell,37
0,4cell,38
0,4cell,39
0,4cell,40
0,4cell,41
0,4cell,42
0,4cell,43
0,4cell,44
0,4cell,45
0,4cell,46
0,4cell,47
0,4cell,48
0,8cell,49
0,8cell,50
0,8cell,51
0,8cell,52
0,8cell,53
0,8cell,54
0,8cell,55
0.00424820697292549,8cell,56
0,8cell,57
1.04208499125877,8cell,58
0,8cell,59
0,8cell,60
0.99990466035139,8cell,61
0,8cell,62
0,8cell,63
0,8cell,64
0,8cell,65
0,8cell,66
0,8cell,67
0,8cell,68
0,8cell,69
0,8cell,70
0,8cell,71
7.57771984579311,8cell,72
0,8cell,73
0,8cell,74
0,8cell,75
0,8cell,76
12.9605612157659,8cell,77
17.2700325318225,8cell,78
15.3581332362126,8cell,79
14.3121347797458,8cell,80
15.5355758525736,8cell,81
14.8045003338314,8cell,82
16.053342066653,8cell,83
14.6876651037444,8cell,84
16.1440204219214,8cell,85
0,16cell,86
0,16cell,87
0,16cell,88
0,16cell,89
0,16cell,90
0,16cell,91
0,16cell,92
0,16cell,93
0,16cell,94
0,16cell,95
0,16cell,96
0,16cell,97
0,16cell,98
0,16cell,99
0,16cell,100
7.91784278240361,16cell,101
6.98105261936655,16cell,102
12.863194570696,16cell,103
0,16cell,104
0,16cell,105
0,16cell,106
0,16cell,107
0,16cell,108
2.25601338216339,16cell,109
3.59242292842321,16cell,110
0,16cell,111
0,16cell,112
0,16cell,113
0,16cell,114
0,16cell,115
0,16cell,116
3.32878236149306,16cell,117
7.33039023200493,16cell,118
0,16cell,119
0,16cell,120
0,16cell,121
0,16cell,122
0,16cell,123
0.372300497087372,16cell,124
8.88017197491886,16cell,125
0,16cell,126
0,16cell,127
0,16cell,128
0,16cell,129
0,16cell,130
8.17805216564457,16cell,131
0,16cell,132
0,16cell,133
0,16cell,134
2.61179933730274,16cell,135
0,earlyblast,136
0.0397351645707822,earlyblast,137
0,earlyblast,138
0.933176468950487,earlyblast,139
0,earlyblast,140
0,earlyblast,141
0,earlyblast,142
0,earlyblast,143
0,earlyblast,144
0,earlyblast,145
0,earlyblast,146
0,earlyblast,147
0,earlyblast,148
0,earlyblast,149
0.142979373237945,earlyblast,150
0,earlyblast,151
0.376977394795949,earlyblast,152
1.41711831867398,earlyblast,153
0,earlyblast,154
0,earlyblast,155
0,earlyblast,156
0,earlyblast,157
0,earlyblast,158
0,earlyblast,159
0,earlyblast,160
0,earlyblast,161
0,earlyblast,162
0,earlyblast,163
0,earlyblast,164
0,earlyblast,165
0,earlyblast,166
0,earlyblast,167
0,earlyblast,168
0,earlyblast,169
0,earlyblast,170
0,earlyblast,171
0,earlyblast,172
0,earlyblast,173
0,earlyblast,174
0,earlyblast,175
0,earlyblast,176
0,earlyblast,177
0,earlyblast,178
0,midblast,179
0,midblast,180
0,midblast,181
0,midblast,182
0,midblast,183
0,midblast,184
0,midblast,185
0,midblast,186
0,midblast,187
0,midblast,188
0,midblast,189
0,midblast,190
0,midblast,191
3.72585783000242,midblast,192
0,midblast,193
0,midblast,194
0.998389795795562,midblast,195
0.654841258670817,midblast,196
0,midblast,197
0.977678942416339,midblast,198
0,midblast,199
0,midblast,200
0,midblast,201
0,midblast,202
0,midblast,203
0,midblast,204
0,midblast,205
0,midblast,206
0,midblast,207
0,midblast,208
0,midblast,209
0,midblast,210
0,midblast,211
0,midblast,212
0,midblast,213
0,midblast,214
0,midblast,215
0,midblast,216
0,midblast,217
0,midblast,218
0.772251905842464,midblast,219
0,midblast,220
2.41169011194918,midblast,221
0,midblast,222
0,midblast,223
0,midblast,224
0,midblast,225
1.95882761947612,midblast,226
1.85239004224878,midblast,227
0,midblast,228
0,midblast,229
0,midblast,230
0,midblast,231
0,midblast,232
0,midblast,233
0,midblast,234
0,midblast,235
0,midblast,236
0,midblast,237
0,midblast,238
0,lateblast,239
0,lateblast,240
0,lateblast,241
0,lateblast,242
0,lateblast,243
0,lateblast,244
0,lateblast,245
0,lateblast,246
0,lateblast,247
0.898585857979264,lateblast,248
0,lateblast,249
0,lateblast,250
0,lateblast,251
0,lateblast,252
3.62874306907759,lateblast,253
0,lateblast,254
0,lateblast,255
0,lateblast,256
0,lateblast,257
1.31069504511306,lateblast,258
0,lateblast,259
4.9224944551728,lateblast,260
5.5727512227599,lateblast,261
0,lateblast,262
0,lateblast,263
0,lateblast,264
0.968202859525334,lateblast,265
0,lateblast,266
0,lateblast,267
0,lateblast,268
